"","sigmasq","phi"
"1",1.27160545739135,10.2094641569142
"2",1.57885586540949,13.8013499315525
"3",1.29679417757148,11.5375071287523
"4",1.49326590710481,12.9611629073653
"5",1.26096721734353,8.49247667241026
"6",1.50452556757449,8.90818558085707
"7",1.24523925706851,11.7211875745953
"8",1.24018166816206,13.7658404260522
"9",1.29212872496626,9.74951751053092
"10",1.46097436342686,10.8018675983393
"11",1.5943721064136,13.6075873304093
"12",1.51926658948083,12.8657525882284
"13",1.32380176890403,10.4200659437449
"14",1.13744562300521,9.05600801732639
"15",1.04044115970427,11.2487799975201
"16",1.18078337136249,12.2230809639174
"17",1.43382890210208,10.9993338289202
"18",1.15876157363677,10.6972762434336
"19",1.05659399335488,9.22159582468871
"20",1.5942105864281,12.1983460116762
"21",1.60293431711646,18.2093606046255
"22",1.11082949758822,13.7729629682753
"23",1.25798852659236,10.206888599252
"24",1.06189135516768,9.23390549008049
"25",1.24477204168,11.100964288769
"26",1.60348931085158,12.4042478941397
"27",1.24073097921436,8.83164555576313
"28",1.49042237736705,11.7355140116446
"29",1.12349408214548,9.94314443390622
"30",1.43263872011743,11.0209659627338
"31",1.43065322815716,12.0106277744964
"32",1.22821781933999,13.646554155868
"33",1.29435975602826,8.4553694536794
"34",1.55823291611578,11.0906939109271
"35",1.38398968380981,11.502610571358
"36",1.14309711044547,9.23652371145593
"37",1.13899359287315,10.9099282188885
"38",1.34868410652754,11.8217509756949
"39",1.33607808559687,11.8599992493722
"40",1.86156945264257,11.4454676580174
"41",1.63178684782889,16.8719777177269
"42",1.23829290270451,10.8994489484484
"43",1.29969796545253,12.6473833895401
"44",1.33736670860441,11.2011968004245
"45",1.46295035640199,12.8391725438743
"46",1.14306219967226,9.25684687298989
"47",1.43298859323115,9.19669013206348
"48",0.980708552290043,10.3360241587226
"49",1.34606942926631,11.8089449818098
"50",1.24178430873335,9.24694111966611
"51",1.55102166651358,12.5931028536129
"52",1.33530777472958,11.4864458603261
"53",0.955003037133509,8.46852775485397
"54",1.0065973716645,10.2757914015175
"55",1.40317122572411,13.5609957999675
"56",1.31826268182035,9.90523304763145
"57",1.07726667058985,10.7878108846793
"58",1.28254303862687,10.1602133684226
"59",1.39401473428405,12.0104805816389
"60",1.41462088278027,9.91661108921429
"61",1.50318028738578,12.6200730990605
"62",1.47862303993704,10.9820553703996
"63",1.51060317028652,12.8057453378048
"64",0.968824936584625,11.1338863687783
"65",1.58632816996946,12.5721278483748
"66",1.61652883281156,12.130123888574
"67",1.40059160106248,11.3614393152147
"68",1.49202352517536,12.9858313430387
"69",1.08107369257078,7.84633379262645
"70",1.45473480837659,12.9323279798086
"71",1.06400138458982,9.64677347323736
"72",1.1447030180659,13.2386485334936
"73",1.27325729380201,10.1830279088103
"74",1.3861054648906,10.4565366272362
"75",1.31561434772144,10.2793645901412
"76",1.12257439091188,14.1418301893712
"77",1.21917283467581,9.25021789810486
"78",1.48994024914897,12.1440990296375
"79",1.41478934897369,11.0406120446864
"80",0.902803903250634,9.30772410451719
