,sigma_sq,alpha
925,2.437772398,13.02757301
926,2.794529034,10.21777358
927,2.52355625,17.2641305
928,3.347585717,12.01708924
929,5.023398796,11.49200772
930,3.580905532,11.21133306
931,2.918126946,15.11060715
932,2.8676915,13.38692043
933,3.305322624,14.35803154
934,3.484518435,15.73974448
935,2.377650852,12.60648937
936,3.334443573,11.41465362
937,2.926799469,9.221859432
938,3.700245885,10.02747765
939,2.594815175,16.02277035
940,2.828548595,11.42893814
941,3.146485316,12.04524925
942,3.430484219,13.31153263
943,2.845166307,14.17844272
944,3.727365693,10.26754021
945,2.737568669,15.71444779
946,3.504747323,21.61113699
947,3.436096333,10.17874405
948,2.946324605,8.901701925
949,2.974257605,13.02674909
950,4.084406539,17.43500132
951,2.679155959,13.38535062
952,2.1103973,15.07884626
953,2.73842136,14.75909839
954,3.75971687,18.25542422
955,2.923761778,14.75146323
956,2.735521372,12.82924225
957,2.641369459,14.38846105
958,3.068409466,14.00530836
959,2.44240096,15.30471327
960,4.745365114,10.43299088
961,3.608567824,11.31039122
962,3.343185246,9.593803951
963,2.409870542,11.45516631
964,5.3418511,14.1121003
965,3.749394769,8.735965676
966,2.889735607,10.91068777
967,4.263039529,10.65833388
968,3.759430532,9.438275068
969,4.877216522,10.74678464
970,2.818779283,11.45112556
971,3.027302641,12.62436586
972,2.510368371,14.84169268
973,4.086518696,9.867421739
974,3.877847034,10.6833134
975,3.327269452,14.84175004
976,3.455237022,10.27926657
977,3.303111873,16.21961153
978,4.3884813,16.02290048
979,2.455326265,14.83877138
980,2.268234074,11.02091329
981,4.700028801,12.96058052
982,3.134003457,12.90206716
983,2.137265792,9.809904226
984,2.58842606,11.80688781
985,2.675289121,15.95332626
986,3.680612728,12.34790165
987,3.373644952,10.21479785
988,2.457997917,15.45002431
989,2.512456208,20.88172903
990,3.257180813,23.06854197
991,2.719164627,13.83574446
992,2.396223122,15.48844855
993,2.58929635,15.02086683
