"long","lat"
1.38113278297624,10.2722721307295
1.28412908310561,10.621351794103
1.17851945786321,10.7695622487949
1.1620741470649,10.7813728017658
1.27278252390995,10.6214124679936
1.28475588761235,10.6310483745206
1.27740199763725,10.6387282937042
1.28424797085994,10.6332226967512
1.27565255443419,10.6278086152931
1.28983598541061,10.6351095473898
1.37741058155199,10.5013764920818
1.35822976821683,10.4183344336552
1.36111625905366,10.4091963490486
1.38401012635731,10.2768575761214
1.38130177731131,10.265376400858
1.37051622629001,10.2671791301691
1.37882982668436,10.2628004676176
1.37192648237693,10.2821061736491
1.36947682902874,10.2777469158052
1.37826364498364,10.2796620870622
1.06521560281759,10.694780376927
1.06405453061344,10.6938102241848
1.06607954872212,10.6895588916628
1.06876387125801,10.6983730160732
1.05417636156885,10.6831797894958
1.06088053782238,10.6862187961797
1.06134651114646,10.690764254241
1.05315582496898,10.6945719918264
1.0525225807449,10.6936464540906
1.08388095055622,10.7172420958809
2.32096088077814,7.89621143414634
2.28680180445965,7.88308018647048
2.3165268878927,7.84893661100251
2.332282446056,7.86856942807426
2.34094543744781,7.84922290642271
2.32471652335846,7.87722631653162
2.29135898151777,7.91165559261744
2.31718433295031,7.92266340936528
2.32508555582915,7.92962133945219
2.31444707886011,7.94402848026965
2.27952817312622,7.76209740401421
2.29434768023501,7.97155329934079
2.30733317584861,7.78302548718215
2.20967362922039,7.96020901736218
2.24432419069875,7.97636958539413
2.2539532000972,7.94687931041011
2.20131539271695,7.74420892943235
2.18838753841935,7.96474299384991
2.20129962800337,7.95091538540724
2.27971499512242,7.91722833404876
2.29503742307272,7.85005190250504
2.38946155696012,7.79174648520099
2.39298910479629,7.79891430749143
2.32378572111481,7.9019663124683
2.29800256024634,7.9164609777343
2.29580234276837,7.92578437167019
2.2889998251389,7.92907077029085
2.31283297704976,7.96296393265724
2.31694035263091,7.96280344934963
2.32140156232147,7.92153330183442
2.19385709229926,7.69616150648875
2.23941911087328,6.86101188213904
2.23921880778626,6.87221683962557
2.2256833810937,6.8730122901376
2.23541583074977,6.87734139023558
2.23839080387627,6.85899373939267
2.22117576504844,6.84858341750995
2.21840605433209,6.84913238237059
2.22448844640362,6.85460080653341
2.20039758075763,6.83293473279636
2.20280232380697,6.83997543380854
2.21764020368481,6.8464078914697
2.21548695724776,6.8444627212637
2.22321300814846,6.84573054151879
2.20687503991246,6.83769872592168
2.19587989500261,6.89172596158651
2.20376488864771,6.88550551961631
2.20269433346436,6.87826708208645
2.20318712591765,6.88567780762784
2.20388633565783,6.8759094666192
2.20249135386791,6.8738029553933
2.20243559847747,6.87846093638475
2.21269433447046,6.87976612900008
2.19634141275599,6.86379835836377
2.19799877819266,6.86052816752907
2.20308659891822,6.85795591827153
2.20962178254797,6.85518422643467
2.20154886118552,6.86598394992156
2.2101058772017,6.85876400615293
2.20643459112047,6.84785784922446
2.22259704725513,6.83647296293767
1.81801447975223,8.92062708211922
1.92043622874924,8.92235272668926
1.81755021263258,8.92769220760742
1.55335523347658,9.24143954652157
1.55325308478325,9.25357287545536
1.55365562352437,9.24776536020219
1.53817789923408,9.23509386145852
1.53331925183189,11.2292935751543
1.53749534251247,11.2239817097431
1.52837600709563,11.226267801487
1.52819522628551,11.218316908726
1.52743469652431,11.2202285000747
1.53377608764578,11.2169784732829
1.53727523034518,11.2331746060133
1.534303764113,11.2341944789396
1.53202596432893,11.2288311988395
1.5276771113258,11.2178346702501
1.53340011189146,11.2189814676121
1.52574572199356,11.2283718995641
1.58922303483473,11.3136227804575
1.59781158357529,11.3192556549508
1.59417095858187,11.3127570915445
1.59272457364659,11.3174622715647
1.5891731467341,11.315186781613
1.59720957646414,11.3150260608816
1.59874948135992,11.328767124619
1.58573028983497,11.3219569668757
1.59179539998685,11.3151600767043
1.59179286582491,11.3163201438957
1.58732648894036,11.3213475800623
1.5667707491398,11.4414752382968
1.5726917664526,11.4365855463004
1.57678052302468,11.4352340482789
1.57994193954603,11.4252507694735
1.56392706843319,11.4335086365088
1.56838328805474,11.4359957798061
1.53552106055638,11.4397952118985
1.52952422972084,11.4564273672999
1.53291167448438,11.4392401589542
1.53280105258723,11.4401448482799
1.53316113843518,11.4459162872537
1.52920018388892,11.4451558555512
1.53975905997733,11.4497206500162
1.53408268213017,11.4509452855156
1.54650410816368,11.4389639240359
1.5438317669727,11.4533760656765
1.53085759601221,11.4490722538605
1.53942196500922,11.4413521883576
1.53451400071908,11.4444006000075
1.5443740350256,11.4410895222105
1.5390433417136,11.4517867287508
1.5347738102794,11.4457374916402
1.54164887858693,11.4385423472706
1.53938151854979,11.4548237115924
1.53712110083773,11.4548817665553
1.54723091883875,11.4501398085854
1.53486944265282,11.4416062843571
1.53524743331155,11.4530910401264
1.53056398053214,11.4409106252156
1.53813873841597,11.4436744363392
1.54420963299882,11.4532266419724
1.52976600586613,11.4523277759565
1.53683428240222,11.449502034608
1.53164254390713,11.445938725676
1.55102664651528,10.9541903263146
1.55081041492769,10.9574523996878
1.5456411486417,10.9581352095921
1.55106991204058,10.9468697467017
1.53763584981196,10.94549763149
1.54921538039918,10.9584593983903
1.53915542535646,10.9519590321572
1.54554482692019,10.9506769642357
1.54092985926738,10.9603844202077
1.54110061629058,10.9451203849651
1.54683010185741,10.9563079181844
1.53579112056508,10.944790846096
1.5414905453559,10.9443588695611
1.54432299889111,10.9613515986796
1.54015524884805,10.9486662691591
1.5438564193119,10.9464908974729
1.54071624673209,10.9502700869319
1.5511872431078,10.9607630862343
1.54780968734497,10.9580894639502
1.55211475857493,10.9548972655241
1.53782595116118,10.9467487318595
1.54838595905262,10.9622394225052
1.55194386521513,10.9466691680934
1.54525284531378,10.9598871329388
1.53648306943536,10.9509559077649
1.53671051933474,10.9525268044945
1.54269168307929,10.9616394159709
1.55026779571951,10.9614944467015
1.54793054927468,10.9462501283226
1.53406263918558,10.9505470942904
1.02483102760466,11.0338490599782
1.02936221642269,11.0287504653977
1.01834430819367,11.0281494915255
1.03164422921687,11.0287537765207
1.49686633640994,11.2981040054521
1.50701320433878,11.1964316274569
1.50318098328272,11.2026130464847
1.50249852747739,11.2084783180677
1.50394395136662,11.2062491389431
1.50822451934652,11.2096794095243
1.5088249954558,11.2074589040702
1.50441038327637,11.2071436905049
1.49739009124351,11.209969016288
1.49808986833199,11.2115110141389
1.26126770654347,10.6238721386212
2.15475306671221,9.13414203315383
2.14868072581441,9.13822240917155
2.15231141885797,9.14058727809935
2.14290628661099,9.13364119831021
2.14666453849739,9.13694980987402
2.15070441277473,9.11552874362053
2.68243749384229,9.78170373976299
2.68347912830614,9.7953229895424
2.68388067706056,9.78513103830863
2.69138462323775,9.78304030289664
2.67907662234176,9.77071439077039
2.66812586852697,9.77642712695967
2.6889685453568,9.77028832192066
2.67624495803475,9.75733427066553
2.68407751302902,9.75582404764512
2.68312678539532,9.75488953640294
3.00389023764564,11.6201912676748
3.00321840035941,11.62881191353
2.99730210432564,11.6194584051552
2.99805245302604,11.632377349874
2.99173083158118,11.6342409449549
2.99529921315024,11.6294740331614
2.99037954412505,11.6227794923192
2.99063605896627,11.6343610741967
2.98965436886144,11.6241048586907
3.00227638024902,11.6243631949813
3.00370389238217,11.6195694245866
2.99404121992794,11.6244560714968
